id,actorid
tt0023786,nm0478441
tt0024044,nm0478441
tt0023846,nm0485647
tt0016276,nm0485943
tt0023278,nm0485943
tt0024320,nm0485943
tt0016544,nm0488672
tt0022293,nm0496505
tt0023567,nm0496505
tt0023631,nm0496505
tt0017662,nm0498174
tt0020197,nm0498174
tt0021297,nm0498174
tt0021932,nm0498174
tt0022331,nm0498174
tt0012281,nm0501902
tt0014586,nm0501902
tt0017739,nm0501902
tt0019130,nm0501902
tt0020080,nm0501902
tt0003883,nm0502442
tt0010060,nm0502442
tt0017378,nm0502442
tt0018749,nm0502442
tt0019067,nm0502442
tt0020143,nm0502442
tt0020144,nm0502442
tt0020230,nm0502442
tt0020547,nm0502442
tt0020827,nm0502442
tt0021060,nm0502442
tt0021633,nm0502442
tt0021874,nm0502442
tt0022183,nm0502442
tt0022215,nm0502442
tt0022453,nm0502442
tt0023162,nm0502442
tt0023495,nm0502442
tt0023523,nm0502442
tt0023926,nm0502442
tt0024433,nm0502442
tt0010060,nm0502752
tt0018749,nm0502752
tt0019067,nm0502752
